num1,num2,num3,num4,num5,mb
24,37,41,61,70,20
09,17,23,30,46,10
07,24,30,48,67,9
18,25,43,44,57,25
11,29,34,48,54,10
01,24,25,40,70,4
11,22,34,44,58,9
08,22,24,38,64,21
33,47,58,59,64,25
05,14,15,62,66,3
04,14,22,43,58,9
07,36,58,60,62,10
10,42,53,67,68,15
03,29,56,62,64,4
10,12,16,49,57,18
04,09,42,62,68,7
15,20,32,37,52,6
29,33,39,60,66,21
10,12,14,24,60,20
18,24,31,34,55,4
17,24,34,56,65,3
10,38,40,43,65,12
15,32,39,50,65,7
14,24,31,42,48,13
03,34,36,59,66,7
02,37,48,66,68,11
10,33,53,54,62,22
08,16,30,38,61,10
04,15,37,59,64,16
02,43,48,62,64,24
29,52,58,60,62,7
04,05,31,62,69,20
13,26,29,38,64,5
21,29,35,54,60,15
34,44,57,62,70,14
09,10,25,37,38,21
02,08,42,43,50,6
10,13,61,62,70,5
13,22,32,60,69,9
05,22,26,43,49,23
04,38,39,54,59,12
04,10,20,33,57,13
28,31,41,42,50,4
25,28,40,43,63,19
12,24,37,42,57,18
07,10,30,33,59,23
10,16,31,42,66,10
33,36,63,68,69,16
34,46,57,65,69,11
08,14,27,57,67,5
28,34,37,56,69,12
03,23,28,46,62,16
20,31,39,46,49,23
01,28,61,62,63,5
05,28,62,65,70,5
15,23,53,65,70,7
03,45,49,61,69,9
04,24,46,61,70,7
20,22,39,54,60,18
27,28,32,41,69,12
02,22,29,31,34,1
39,45,52,56,59,15
08,16,32,48,61,12
01,02,11,52,64,9
31,32,43,63,68,17
23,30,40,43,66,13
15,30,51,62,67,19
08,10,41,54,68,10
02,07,25,35,44,3
07,18,29,32,45,17
03,20,33,34,41,20
01,06,13,18,49,8
14,16,19,38,57,11
01,31,32,47,56,3
11,26,44,45,46,11
01,03,12,22,42,6
02,13,15,21,62,2
09,28,30,54,60,2
12,15,35,64,69,9
01,32,40,49,63,20
01,02,04,19,29,20
01,14,30,44,62,1
40,41,61,66,67,12
21,22,39,59,68,2
01,17,28,56,70,14
02,10,46,50,56,16
13,35,45,49,68,23
02,32,47,49,68,23
17,25,29,39,60,19
02,06,11,27,44,20
11,13,28,65,70,14
01,11,37,47,51,6
01,03,05,08,70,3
14,30,33,44,56,13
22,33,41,48,52,4
05,24,52,62,66,17
02,11,55,58,67,2
11,14,51,64,68,25
16,17,21,36,48,9
09,26,53,64,66,11
21,34,44,49,61,21
14,38,40,53,70,22
08,15,39,64,67,13
04,05,10,12,18,21
02,07,20,55,70,1
02,29,38,63,66,11
03,19,31,32,48,10
01,15,18,32,45,4
12,34,44,47,65,22
08,09,32,42,59,10
05,13,31,43,53,20
16,33,51,54,67,20
04,29,39,42,62,14
11,28,31,46,59,1
07,25,43,56,59,13
04,08,23,53,59,17
14,38,51,64,70,9
01,13,26,33,52,11
06,30,58,60,61,17
07,17,18,46,66,22
01,04,26,35,39,22
24,28,42,60,64,8
10,17,21,38,43,23
07,11,13,19,58,9
17,19,23,24,43,14
14,38,48,53,58,16
05,12,15,46,49,1
28,34,41,46,47,14
14,17,25,48,58,25
01,04,14,17,40,4
29,41,42,49,57,24
10,16,27,38,43,1
02,06,30,31,55,7
03,17,23,49,66,23
03,11,23,29,59,18
17,18,33,46,60,24
16,29,31,65,67,23
28,30,39,59,70,10
01,42,47,64,70,22
04,10,18,28,62,7
10,12,20,38,41,25
01,20,30,33,42,16
28,37,39,42,58,2
04,12,36,44,57,19
08,23,24,25,27,9
06,37,46,60,70,24
14,15,37,42,67,22
16,22,40,41,59,8
10,17,47,51,61,5
16,36,54,61,64,22
03,07,22,27,50,3
03,26,55,58,70,15
01,14,21,22,28,19
06,23,38,42,58,24
01,54,60,68,69,11
10,22,42,61,69,3
06,28,31,52,53,12
17,27,41,51,52,13
20,24,34,56,64,6
06,23,63,66,73,9
31,45,49,56,70,11
02,07,18,26,31,12
07,16,24,61,62,2
21,33,36,45,56,12
12,18,19,25,67,7
25,51,62,73,74,7
01,10,57,66,75,4
05,39,54,63,66,15
09,28,31,50,61,10
18,24,34,38,58,3
26,37,41,54,65,3
04,05,14,26,73,14
11,17,59,70,72,1
04,13,31,50,64,12
02,13,17,35,73,3
17,38,42,51,65,11
24,35,46,50,51,7
01,31,34,40,75,6
07,16,20,66,73,7
23,33,53,56,58,6
11,17,50,52,74,14
09,17,25,63,71,4
20,22,52,57,73,7
04,06,31,49,52,11
02,05,26,58,60,6
18,31,36,50,74,10
08,12,23,51,73,6
11,12,24,32,73,1
07,18,24,55,74,10
02,09,11,28,60,10
16,39,47,53,71,15
10,38,51,55,64,6
04,21,45,52,57,14
12,20,53,66,74,11
02,15,41,49,63,3
18,22,26,30,44,9
27,51,62,68,75,8
03,16,28,33,37,9
03,05,16,49,75,5
07,42,57,69,72,10
05,20,32,37,67,5
25,26,28,37,56,5
06,13,17,33,60,14
01,04,05,24,30,1
04,35,39,56,72,11
28,34,41,42,47,13
06,29,45,69,73,11
04,23,33,47,53,7
05,14,42,43,58,1
06,13,18,20,31,13
03,13,33,40,50,2
01,12,13,32,34,10
08,29,30,43,64,6
05,10,55,60,73,12
19,34,35,38,49,8
30,33,43,47,69,15
13,24,34,35,55,9
17,24,27,32,58,10
30,33,35,37,46,10
05,28,37,61,69,1
04,45,53,73,75,7
11,27,31,58,60,10
16,23,28,33,59,13
26,38,42,58,70,5
03,30,45,53,68,11
14,26,39,48,51,9
20,33,45,58,69,4
12,29,33,42,68,14
09,21,30,32,75,9
04,56,58,67,75,8
07,11,33,60,68,15
32,39,51,62,75,14
23,28,37,56,71,12
03,06,29,30,64,3
03,14,27,62,72,4
17,37,53,54,61,8
08,42,54,63,67,11
07,09,24,41,53,14
20,31,54,56,59,3
10,44,58,74,75,11
11,20,40,41,59,15
06,10,44,47,54,6
14,16,23,49,53,12
06,21,33,39,43,2
02,28,30,38,39,11
21,30,39,60,69,15
01,12,14,48,65,2
01,08,15,36,43,6
02,15,26,34,41,14
19,27,47,67,68,1
13,34,48,53,63,12
03,33,35,49,51,1
22,33,49,51,59,8
44,47,49,69,75,10
01,43,45,66,69,7
31,32,49,55,58,15
09,17,23,57,71,6
16,40,47,53,59,11
46,48,53,61,74,12
10,29,32,44,46,10
19,24,31,39,45,13
07,38,46,57,66,2
08,09,24,49,67,13
12,43,44,48,66,3
07,24,28,65,74,1
07,27,60,64,74,5
36,39,42,45,48,3
24,37,42,50,65,14
18,29,30,54,66,1
21,30,47,50,57,9
14,16,26,53,72,4
01,05,08,25,62,14
02,22,34,62,72,2
13,21,28,34,40,15
06,15,17,39,56,15
01,34,43,44,63,11
25,37,58,69,75,8
22,28,41,46,60,3
28,32,41,51,71,11
10,11,31,41,44,14
02,07,46,61,66,1
22,37,45,65,73,13
02,43,52,62,63,6
04,41,44,56,69,10
12,19,20,44,66,1
05,18,28,54,74,6
03,12,36,54,70,12
11,16,19,31,48,4
01,04,31,36,54,9
08,24,25,26,30,7
03,34,54,65,66,4
16,51,52,56,58,4
06,08,22,46,68,4
08,19,20,55,73,5
29,46,53,64,73,10
20,41,42,45,49,14
15,17,20,35,55,7
11,14,54,57,63,11
06,13,21,49,50,10
20,23,30,44,59,9
36,37,38,52,62,6
34,61,66,67,68,7
25,48,51,65,72,4
32,54,65,66,71,10
09,31,34,41,49,8
18,41,50,68,70,9
11,50,51,70,75,15
19,24,26,40,68,8
17,24,27,48,75,6
20,21,38,54,66,7
12,22,46,56,74,4
14,26,27,32,36,7
28,29,33,36,45,15
05,06,37,55,74,10
14,16,17,28,48,2
02,19,21,42,60,13
09,28,40,57,65,2
09,10,34,37,73,9
07,11,59,62,63,3
31,38,52,65,71,15
13,45,52,53,57,10
25,28,33,41,69,6
33,38,40,46,49,15
04,11,12,35,46,12
06,19,34,38,70,5
05,08,57,59,73,13
18,26,30,44,68,7
14,18,48,54,71,13
27,37,54,66,69,5
21,26,33,48,73,14
01,29,33,34,55,6
03,15,19,62,74,14
16,32,39,53,57,10
02,27,41,50,75,4
09,31,33,46,64,4
01,07,44,68,73,1
03,42,46,56,71,13
04,06,23,55,75,2
07,13,25,51,70,9
20,28,49,51,52,6
14,27,39,50,69,2
21,25,40,46,56,3
02,17,31,39,47,9
29,41,53,54,70,12
15,27,29,31,48,15
11,39,51,57,75,2
01,04,36,48,57,13
07,18,37,38,39,9
20,25,55,62,74,7
15,25,29,44,51,4
11,21,40,50,70,15
06,23,24,28,62,7
18,25,47,51,61,5
14,20,43,54,69,5
07,17,37,49,73,15
26,42,47,61,73,6
05,07,25,50,59,12
16,20,39,56,59,12
02,19,30,38,70,8
09,12,29,37,67,15
12,14,18,24,61,10
17,18,31,35,59,9
08,17,20,45,71,4
10,31,35,50,72,8
16,29,44,69,74,12
17,41,51,53,56,15
09,26,27,29,74,4
25,32,37,45,70,1
06,25,35,38,52,4
02,38,48,61,68,4
07,09,24,38,52,1
08,09,21,63,75,14
17,58,63,64,66,13
04,14,29,31,47,9
08,21,30,61,62,9
03,08,38,51,64,4
28,30,38,45,51,8
17,34,35,51,65,7
07,20,35,49,56,9
05,11,31,50,67,14
19,20,36,41,46,7
17,21,39,52,57,5
02,05,35,40,54,13
13,35,40,60,68,9
05,44,54,59,63,1
13,15,21,41,72,1
02,07,33,39,53,9
12,15,20,52,71,3
03,08,29,57,68,8
01,38,53,63,66,10
02,19,44,51,57,14
28,32,33,40,46,10
08,35,61,68,75,15
10,12,26,60,62,13
20,30,62,65,74,1
06,17,30,31,41,15
19,24,30,35,72,5
24,27,45,51,54,8
06,15,16,28,49,14
33,50,64,71,72,9
11,17,34,43,50,15
12,23,33,47,50,3
06,13,38,56,70,2
04,35,36,52,68,8
08,19,26,56,67,14
01,40,42,56,62,2
06,16,17,25,36,7
07,22,27,41,49,10
02,09,11,22,23,12
20,27,38,49,66,2
01,39,52,69,72,12
03,14,15,25,48,8
10,12,21,29,65,10
11,17,21,36,74,15
14,30,33,36,44,2
09,21,25,66,72,7
11,21,42,62,71,7
17,18,61,66,74,3
22,27,55,58,63,11
24,25,29,47,67,4
31,33,35,41,69,11
15,18,29,41,50,5
03,07,25,68,71,3
06,11,32,46,68,9
05,15,22,26,64,6
10,36,47,63,74,2
08,26,41,61,73,11
17,21,36,58,70,3
02,23,32,45,55,12
07,50,54,61,75,7
11,27,44,45,58,3
08,22,30,42,45,3
10,14,19,30,73,14
30,48,55,68,73,5
09,11,42,44,50,3
07,49,53,60,64,4
15,23,26,45,66,4
02,06,08,52,66,13
06,45,50,65,66,1
04,20,44,65,74,14
07,42,53,58,71,15
05,06,17,33,68,13
11,22,25,58,69,13
18,31,39,45,55,6
05,26,27,44,57,7
14,15,32,68,72,8
31,35,56,59,63,6
26,32,44,45,58,11
12,20,25,50,51,7
37,49,50,56,57,8
12,20,27,38,75,4
13,15,35,62,74,12
03,07,44,63,67,12
02,05,10,20,38,14
04,10,31,56,66,7
14,18,58,59,68,4
41,58,68,72,73,1
02,31,46,58,65,7
27,45,49,51,52,14
04,05,11,51,59,5
13,18,22,49,62,11
08,26,29,36,47,10
10,11,29,47,56,4
03,12,35,37,63,15
37,39,53,68,75,6
03,49,61,62,68,15
23,25,28,30,75,11
31,35,41,65,66,5
09,15,24,39,41,1
11,29,36,58,67,15
03,50,57,58,60,11
02,14,21,28,55,3
05,35,37,41,66,11
21,31,43,56,60,12
11,37,46,64,68,15
02,32,35,50,59,3
16,29,46,48,55,2
03,20,34,58,67,6
03,16,52,54,61,6
17,26,35,46,62,9
21,24,25,40,43,12
16,25,27,29,34,2
25,45,51,53,73,2
18,28,33,36,42,7
25,34,55,70,71,1
07,12,20,24,59,7
01,08,54,69,72,1
03,26,45,58,73,12
29,31,51,60,64,1
05,31,34,41,74,3
22,39,56,67,71,15
16,19,28,29,68,9
32,53,60,63,68,6
09,16,61,70,75,7
25,28,36,45,53,6
13,29,34,37,72,6
02,08,16,43,74,1
22,29,33,41,68,12
14,18,22,31,47,15
05,08,59,65,72,3
02,04,17,36,40,5
09,13,30,35,69,10
14,25,27,48,49,9
16,33,39,58,69,2
09,22,38,47,49,15
15,29,31,46,64,10
13,17,24,47,65,10
01,22,25,29,56,3
10,14,24,47,60,3
07,38,46,49,56,1
02,10,24,26,74,7
12,29,37,49,72,9
19,28,62,66,74,6
10,13,42,43,62,2
01,06,10,46,58,13
12,14,21,38,70,15
10,40,63,64,69,7
13,14,16,50,56,11
37,46,48,70,74,1
10,28,39,51,59,14
18,20,27,48,51,5
01,18,26,35,40,13
07,43,59,61,66,3
03,11,18,20,66,9
02,18,19,49,50,1
18,25,38,45,63,9
04,39,46,47,70,13
03,42,44,47,57,8
35,36,41,60,71,3
01,10,15,41,54,9
10,23,68,74,75,9
02,03,09,50,73,12
19,26,51,57,73,15
02,23,30,35,53,10
11,19,24,33,51,7
07,20,40,54,69,12
09,14,56,57,69,10
11,13,51,57,69,1
10,29,31,35,45,10
03,31,50,58,59,6
12,18,25,35,66,15
23,29,32,45,46,15
23,29,31,37,70,14
20,28,35,71,72,7
43,64,67,71,73,4
11,21,23,35,64,10
25,44,49,60,73,9
03,09,13,47,52,8
07,16,28,53,60,2
22,45,46,47,65,10
08,23,33,45,52,4
01,10,26,31,51,11
04,23,26,62,69,13
08,28,36,37,57,8
13,34,56,62,64,6
22,24,25,40,70,5
08,12,34,52,58,8
04,15,35,48,49,11
23,34,53,58,73,2
03,04,31,49,57,6
08,14,17,20,39,7
19,24,26,27,70,12
05,12,22,41,65,13
11,29,44,63,64,3
07,12,41,44,59,3
09,41,43,47,57,5
27,44,59,74,75,3
17,23,35,36,44,8
14,15,29,49,63,2
25,44,49,54,63,8
20,30,32,42,71,15
41,42,51,57,65,7
02,11,42,64,74,2
32,35,49,62,67,1
20,33,50,53,54,7
06,16,45,54,60,15
02,03,19,52,71,14
04,23,30,43,50,11
03,27,37,45,48,46
06,15,19,23,40,5
04,16,24,25,44,5
07,10,30,37,53,1
09,23,27,49,51,38
04,11,32,39,40,33
01,15,20,21,47,34
06,15,27,31,39,25
09,22,28,48,54,8
02,12,18,54,56,1
02,16,17,22,41,31
04,13,14,28,41,28
06,19,24,43,44,33
04,07,30,36,38,38
01,09,17,20,53,14
13,28,35,38,41,33
07,13,26,36,46,37
02,31,32,37,41,40
11,20,30,34,38,12
01,11,16,51,55,41
08,21,23,25,39,4
25,27,36,42,44,39
04,22,23,27,38,42
25,32,35,50,51,46
16,20,24,39,42,46
10,14,21,40,53,20
04,05,25,27,51,10
03,21,43,45,48,14
02,23,41,47,54,42
36,42,51,52,53,40
08,15,35,46,52,38
03,05,28,33,51,16
03,14,17,40,50,3
06,17,34,40,48,30
02,05,31,33,34,20
15,40,45,50,53,28
01,10,37,48,55,21
10,11,12,20,55,19
02,20,26,44,46,26
04,12,25,32,54,36
04,05,16,18,53,28
02,15,17,48,55,11
11,15,35,43,49,41
06,10,12,28,32,38
01,19,20,39,49,28
01,06,13,20,51,31
02,20,34,42,54,39
21,30,34,39,49,43
17,42,49,54,55,31
09,21,22,32,50,10
06,08,12,22,43,28
02,05,15,18,39,42
01,10,13,19,21,28
17,30,41,48,54,13
08,15,23,36,41,5
07,10,14,40,47,34
25,31,36,46,53,21
20,33,46,49,51,46
14,27,34,37,41,38
03,06,14,21,37,35
04,08,17,22,32,8
09,12,19,20,30,39
04,11,25,34,35,44
06,20,39,41,46,42
17,30,38,43,51,20
06,07,13,15,43,7
09,13,24,38,49,30
01,15,19,30,56,28
11,35,41,42,44,42
09,22,32,38,55,44
06,15,20,39,50,5
02,05,10,26,44,46
01,30,32,40,41,17
08,12,27,46,47,6
11,12,17,31,48,1
07,11,16,39,54,13
08,18,25,42,49,14
01,06,12,19,41,14
24,29,30,34,56,1
03,20,21,38,42,19
01,02,23,25,55,39
04,11,21,25,44,29
10,13,32,40,41,32
02,03,18,34,48,36
03,18,32,41,56,19
01,06,07,18,29,16
11,28,33,41,43,41
39,44,51,52,54,13
07,43,44,51,56,4
03,19,24,32,43,44
11,22,24,28,31,46
05,12,26,42,49,24
08,37,44,47,48,27
09,13,22,38,52,44
05,24,26,29,53,36
06,12,31,46,56,34
18,22,33,35,40,11
03,05,13,32,35,6
04,18,22,38,44,24
05,12,18,29,56,38
04,15,24,36,40,44
01,17,42,46,55,1
14,34,36,48,53,42
13,37,40,46,52,29
06,10,24,26,42,15
06,15,16,22,37,3
08,09,16,32,39,15
10,11,20,42,55,9
06,08,14,43,56,28
07,08,23,50,51,26
03,13,14,46,55,34
05,09,22,36,49,36
16,17,21,40,51,20
05,11,20,33,36,11
15,32,38,42,46,31
16,32,39,41,53,16
31,40,41,47,48,45
04,09,40,45,50,39
25,34,45,46,49,34
05,13,20,23,33,30
08,20,24,35,56,24
15,23,34,39,55,32
10,18,36,38,44,8
30,32,33,42,48,7
02,10,13,38,46,2
05,18,21,29,41,37
02,03,04,08,43,26
05,09,38,46,51,5
02,44,48,50,52,3
01,13,21,49,55,17
06,07,13,24,46,34
03,11,19,23,36,21
20,23,28,35,39,21
03,04,24,36,52,45
28,34,39,45,53,34
03,16,23,35,36,20
10,16,19,32,36,13
11,21,27,30,53,11
08,12,18,30,40,4
02,09,17,34,50,45
04,09,34,40,48,25
37,39,42,53,55,22
02,27,38,46,52,45
02,14,29,53,55,31
09,15,21,40,54,11
10,14,35,43,52,16
03,11,22,34,49,1
10,11,12,14,24,6
03,15,29,35,54,8
02,06,08,18,51,19
04,11,21,42,53,38
24,27,31,45,52,38
02,05,45,46,47,37
03,09,15,37,38,39
14,23,26,33,35,40
01,16,24,32,48,2
09,14,17,36,42,33
02,06,12,31,48,25
02,19,20,24,33,39
11,35,38,41,52,40
02,04,23,38,46,23
09,19,34,44,51,24
06,17,19,20,21,20
01,04,06,11,14,30
28,29,43,51,53,7
02,08,30,36,48,31
09,10,27,36,42,11
20,24,31,33,36,44
16,29,48,52,54,5
06,15,29,39,51,36
01,16,18,25,27,3
09,30,39,42,47,37
16,25,28,32,40,3
03,05,10,26,27,27
03,04,18,29,50,20
17,23,30,37,45,4
07,19,21,49,53,35
09,17,18,28,43,9
03,05,30,36,48,23
10,22,24,36,49,33
01,09,28,38,47,8
03,15,31,36,53,27
10,27,28,37,51,19
04,10,16,38,48,34
09,17,28,34,48,46
02,03,15,22,36,23
04,24,45,46,52,1
23,32,33,39,43,8
03,05,08,18,29,14
20,24,27,45,51,31
02,04,26,36,39,27
05,06,22,26,41,6
04,12,29,49,51,44
07,21,29,35,49,39
24,30,48,51,56,45
17,29,43,48,52,36
22,28,42,49,54,43
04,16,23,33,48,38
04,13,33,39,55,3
03,06,24,30,33,21
02,16,22,29,50,27
05,31,45,47,54,4
26,30,32,33,44,1
27,31,39,40,46,36
13,31,49,52,56,41
13,33,40,44,46,8
06,21,35,37,38,17
24,25,45,47,53,42
13,35,42,45,54,26
25,34,38,44,56,27
05,15,19,23,38,19
03,26,40,45,52,11
03,19,21,44,45,29
02,20,28,36,45,37
27,31,32,40,52,36
06,29,38,50,51,39
06,23,41,45,56,24
22,31,43,48,56,45
07,12,19,23,31,45
01,36,38,42,49,19
25,44,48,49,55,20
02,22,25,28,50,18
02,03,27,30,47,36
11,21,44,48,49,23
05,15,53,54,56,22
04,38,41,42,43,44
09,43,51,54,55,13
11,19,39,45,54,15
06,24,28,33,42,19
14,17,19,20,32,28
08,10,22,47,48,35
20,25,35,52,55,10
23,31,32,39,56,38
02,09,10,16,35,40
16,29,30,46,56,6
03,09,11,44,49,9
01,02,22,37,50,45
01,10,13,18,46,19
12,17,30,35,47,26
12,17,27,47,48,33
10,14,40,49,51,4
11,24,25,31,46,17
12,29,46,47,51,24
09,10,20,51,53,24
18,21,27,37,38,7
29,32,35,47,52,13
20,23,41,49,53,31
28,30,31,37,55,13
05,07,14,28,56,10
09,12,21,42,43,42
10,17,19,45,48,30
01,02,17,25,48,45
03,33,39,47,53,9
11,16,34,40,51,34
06,18,26,37,41,9
01,16,29,36,50,16
09,10,11,33,51,29
19,29,32,38,55,15
03,18,46,51,53,17
20,24,32,45,51,43
22,23,33,39,48,29
10,23,39,41,45,15
06,40,45,50,56,11
01,19,20,31,36,9
13,14,35,36,53,19
06,15,23,34,38,43
22,24,31,52,54,4
01,14,35,50,53,43
14,33,34,54,56,37
10,11,12,28,43,45
14,19,21,42,45,6
03,17,19,41,55,24
08,10,15,23,41,7
01,12,19,20,47,25
04,05,17,19,50,7
15,22,23,48,55,31
05,06,07,30,45,42
17,18,24,35,39,18
08,09,17,32,34,13
25,35,36,47,48,18
06,20,29,48,55,6
16,22,23,26,35,31
14,33,48,49,50,18
05,08,31,46,50,4
05,09,21,35,38,20
04,27,29,38,45,5
02,15,17,33,35,8
01,04,11,16,45,37
04,22,42,46,53,20
04,08,15,25,47,42
10,12,13,35,56,9
06,18,36,40,49,7
15,16,27,40,52,16
08,11,12,31,32,29
11,20,26,46,53,12
18,22,25,31,38,29
23,27,33,44,46,36
04,38,45,53,54,9
06,11,12,18,56,12
11,16,19,47,53,2
05,09,34,43,47,8
02,06,12,34,35,33
07,14,31,51,54,35
01,26,27,39,46,21
09,26,28,35,38,10
08,26,28,33,53,11
19,25,34,46,53,15
01,03,12,16,54,46
04,19,26,28,39,14
15,21,30,31,32,26
